iter	Passed	Remaining
251	349	1037
252	350	1034
253	350	1030
254	351	1027
255	352	1024
256	353	1021
257	354	1018
258	355	1016
259	356	1013
260	356	1010
261	357	1007
262	358	1004
263	359	1001
264	360	998
265	360	995
266	361	992
267	362	989
268	363	986
269	364	984
270	364	981
271	365	978
272	366	976
273	367	973
274	368	970
275	369	968
276	369	965
277	370	962
278	371	960
279	372	957
280	373	954
281	374	952
282	374	949
283	375	947
284	376	944
285	377	941
286	378	939
287	378	936
288	379	934
289	381	933
290	382	931
291	382	928
292	383	926
293	384	923
294	385	921
295	386	918
296	387	916
297	387	913
298	388	911
299	389	908
300	390	906
301	390	903
302	391	901
303	392	898
304	393	896
305	394	894
306	395	891
307	395	889
308	396	887
309	397	884
310	398	882
311	399	880
312	400	878
313	400	875
314	401	873
315	402	871
316	403	869
317	404	866
318	404	864
319	405	862
320	406	859
321	407	857
322	408	855
323	408	853
324	409	850
325	410	849
326	411	847
327	412	845
328	413	843
329	414	841
330	415	839
331	416	837
332	416	835
333	417	832
334	418	830
335	419	828
336	420	826
337	420	824
338	421	822
339	422	820
340	423	818
341	424	817
342	425	815
343	426	813
344	427	811
345	428	809
346	429	807
347	429	805
348	430	803
349	431	801
350	432	799
351	433	798
352	434	795
353	435	793
354	435	791
355	436	789
356	437	787
357	438	785
358	439	783
359	439	781
360	440	780
361	441	778
362	442	776
363	443	774
364	443	772
365	444	770
366	445	768
367	446	766
368	447	764
369	447	762
370	448	761
371	449	759
372	450	758
373	451	756
374	452	754
375	453	753
376	454	751
377	455	749
378	456	747
379	457	745
380	457	743
381	458	742
382	459	740
383	460	738
384	461	737
385	462	735
386	463	733
387	463	731
388	464	730
389	465	728
390	466	726
391	467	724
392	468	723
393	468	721
394	469	719
395	470	717
396	471	716
397	472	714
398	473	712
399	473	710
400	474	709
401	475	707
402	476	705
403	477	703
404	477	702
405	478	700
406	479	698
407	480	697
408	481	695
409	481	693
410	482	691
411	483	690
412	484	688
413	485	686
414	486	685
415	486	683
416	487	681
417	488	680
418	489	678
419	490	677
420	491	675
421	492	674
422	493	672
423	494	671
424	495	669
425	496	668
426	496	666
427	497	665
428	498	663
429	499	662
430	500	660
431	501	659
432	502	657
433	503	656
434	504	655
435	505	653
436	506	652
437	507	650
438	508	649
439	509	647
440	509	646
441	510	644
442	511	643
443	512	641
444	513	640
445	514	638
446	515	637
447	515	635
448	516	634
449	517	632
450	518	631
451	519	629
452	520	628
453	521	626
454	521	625
455	522	623
456	523	621
457	524	620
458	525	618
459	525	617
460	526	615
461	527	614
462	528	612
463	529	611
464	529	609
465	530	607
466	531	606
467	532	604
468	533	603
469	533	602
470	534	600
471	535	598
472	536	597
473	537	595
474	537	594
475	538	593
476	539	591
477	540	590
478	541	588
479	542	587
480	542	585
481	543	584
482	544	582
483	545	581
484	546	579
485	547	578
486	548	577
487	548	575
488	549	574
489	550	573
490	551	571
491	552	570
492	553	568
493	553	567
494	554	565
495	555	564
496	556	563
497	557	561
498	558	560
499	558	558
500	559	557
501	560	555
502	561	554
503	561	553
504	562	551
505	563	550
506	564	548
507	565	547
508	566	546
509	567	544
510	567	543
511	568	542
512	569	540
513	570	539
514	571	537
515	572	536
516	572	535
517	580	539
518	581	538
519	582	537
520	582	535
521	583	534
522	584	533
523	585	531
524	586	530
525	587	529
526	588	527
527	589	526
528	590	525
529	591	524
530	591	522
531	592	521
532	593	520
533	594	518
534	595	517
535	596	516
536	597	514
537	598	513
538	598	512
539	599	510
540	600	509
541	601	508
542	602	506
543	602	505
544	603	504
545	604	502
546	605	501
547	606	500
548	607	498
549	608	497
550	608	496
551	609	494
552	610	493
553	611	492
554	612	490
555	613	489
556	613	488
557	614	486
558	615	485
559	616	484
560	617	482
561	617	481
562	618	480
563	619	478
564	620	477
565	621	476
566	621	474
567	622	473
568	623	472
569	624	470
570	624	469
571	625	468
572	626	466
573	627	465
574	628	464
575	629	463
576	629	461
577	630	460
578	631	459
579	632	457
580	633	456
581	633	455
582	634	453
583	635	452
584	636	451
585	637	450
586	638	448
587	638	447
588	639	446
589	640	444
590	641	443
591	641	442
592	642	441
593	643	439
594	644	439
595	645	437
596	646	436
597	647	435
598	648	434
599	649	432
600	650	431
601	651	430
602	651	429
603	652	427
604	653	426
605	654	425
606	654	424
607	655	422
608	656	421
609	657	420
610	658	419
611	659	417
612	660	416
613	660	415
614	661	414
615	662	413
616	663	411
617	664	410
618	665	409
619	665	408
620	666	406
621	667	405
622	668	404
623	669	403
624	670	402
625	671	400
626	671	399
627	672	398
628	673	397
629	674	395
630	675	394
631	675	393
632	676	392
633	677	391
634	678	390
635	679	388
636	680	387
637	681	386
638	682	385
639	683	384
640	684	383
641	685	382
642	686	381
643	688	380
644	689	379
645	690	378
646	691	377
647	692	376
648	693	375
649	694	374
650	695	373
651	696	371
652	697	370
653	699	369
654	700	368
655	701	367
656	702	366
657	703	365
658	704	364
659	705	363
660	706	362
661	707	361
662	708	360
663	709	359
664	711	358
665	712	357
666	713	356
667	714	355
668	716	354
669	717	353
670	718	352
671	719	351
672	720	350
673	722	349
674	723	348
675	724	347
676	725	346
677	726	345
678	727	344
679	729	343
680	730	342
681	731	341
682	732	339
683	733	338
684	735	338
685	736	337
686	737	336
687	738	335
688	740	334
689	741	333
690	742	331
691	743	330
692	744	329
693	746	328
694	747	327
695	748	326
696	749	325
697	750	324
698	751	323
699	752	322
700	753	321
701	755	320
702	756	319
703	758	318
704	759	317
705	759	316
706	761	315
707	762	314
708	763	313
709	764	312
710	765	311
711	766	310
712	767	309
713	768	307
714	770	306
715	771	305
716	772	304
717	773	303
718	774	302
719	775	301
720	776	300
721	777	299
722	778	298
723	780	297
724	781	296
725	782	295
726	783	294
727	784	293
728	785	292
729	787	291
730	788	290
731	789	289
732	790	288
733	792	287
734	793	286
735	794	285
736	795	284
737	797	282
738	798	281
739	799	280
740	800	279
741	801	278
742	803	277
743	804	276
744	805	275
745	806	274
746	807	273
747	808	272
748	809	271
749	811	270
750	812	269
751	813	268
752	815	267
753	816	266
754	817	265
755	819	264
756	820	263
757	821	262
758	822	261
759	824	260
760	825	259
761	826	258
762	828	257
763	829	256
764	831	255
765	832	254
766	833	253
767	835	252
768	836	251
769	837	250
770	838	249
771	840	248
772	841	247
773	842	245
774	843	244
775	845	243
776	846	242
777	847	241
778	849	240
779	850	239
780	851	238
781	852	237
782	854	236
783	855	235
784	856	234
785	858	233
786	859	232
787	861	231
788	862	230
789	863	229
790	865	228
791	866	227
792	867	226
793	876	227
794	877	226
795	878	225
796	880	224
797	881	223
798	882	222
799	884	221
800	885	220
801	886	218
802	888	217
803	889	216
804	890	215
805	892	214
806	893	213
807	894	212
808	896	211
809	898	210
810	900	209
811	901	208
812	902	207
813	903	206
814	904	205
815	905	204
816	906	203
817	907	201
818	908	200
819	909	199
820	910	198
821	912	197
822	913	196
823	914	195
824	915	194
825	916	192
826	917	191
827	917	190
828	919	189
829	920	188
830	921	187
831	922	186
832	924	185
833	925	184
834	926	183
835	927	181
836	928	180
837	929	179
838	930	178
839	931	177
840	932	176
841	933	175
842	934	174
843	935	172
844	936	171
845	937	170
846	939	169
847	940	168
848	941	167
849	942	166
850	943	165
851	944	164
852	945	162
853	946	161
854	947	160
855	948	159
856	949	158
857	950	157
858	951	156
859	952	155
860	953	153
861	954	152
862	955	151
863	956	150
864	957	149
865	959	148
866	959	147
867	961	146
868	962	145
869	963	143
870	964	142
871	965	141
872	966	140
873	967	139
874	968	138
875	969	137
876	970	136
877	971	135
878	972	133
879	973	132
880	975	131
881	976	130
882	977	129
883	978	128
884	979	127
885	980	126
886	981	125
887	983	124
888	984	122
889	985	121
890	987	120
891	988	119
892	989	118
893	990	117
894	991	116
895	992	115
896	994	114
897	995	113
898	995	111
899	997	110
900	998	109
901	999	108
902	1000	107
903	1001	106
904	1002	105
905	1003	104
906	1004	103
907	1005	101
908	1006	100
909	1007	99
910	1008	98
911	1010	97
912	1011	96
913	1012	95
914	1012	94
915	1013	92
916	1015	91
917	1015	90
918	1016	89
919	1017	88
920	1019	87
921	1020	86
922	1021	85
923	1022	84
924	1023	82
925	1024	81
926	1025	80
927	1026	79
928	1027	78
929	1028	77
930	1029	76
931	1030	75
932	1031	74
933	1032	72
934	1033	71
935	1034	70
936	1035	69
937	1036	68
938	1037	67
939	1038	66
940	1039	65
941	1040	64
942	1041	62
943	1042	61
944	1043	60
945	1044	59
946	1045	58
947	1046	57
948	1047	56
949	1048	55
950	1049	54
951	1050	52
952	1052	51
953	1053	50
954	1054	49
955	1055	48
956	1057	47
957	1058	46
958	1059	45
959	1060	44
960	1062	43
961	1063	42
962	1064	40
963	1065	39
964	1066	38
965	1067	37
966	1068	36
967	1069	35
968	1070	34
969	1071	33
970	1072	32
971	1073	30
972	1074	29
973	1076	28
974	1077	27
975	1078	26
976	1079	25
977	1080	24
978	1081	23
979	1083	22
980	1084	21
981	1085	19
982	1086	18
983	1087	17
984	1088	16
985	1089	15
986	1090	14
987	1091	13
988	1092	12
989	1093	11
990	1094	9
991	1095	8
992	1096	7
993	1097	6
994	1098	5
995	1099	4
996	1101	3
997	1102	2
998	1103	1
999	1104	0
